SubID,Include,Exclusion_reason,Counting,Task,Trial,response,scorenotes,accuracy
BABSYN406,1,NA,yes,next,target86,87,NA,1
BABSYN406,1,NA,yes,skip,by10s,"10, 20, 30, 40, 50",Counted all #'s in correct order?,1
BABSYN406,1,NA,yes,skip,by2s,"2, 4, 6, 8, 10",Counted all #'s in correct order?,1
BABSYN406,1,NA,yes,skip,by5s,"5, 10, 15, 20, 25",Counted all #'s in correct order?,1
BABSYN407,1,NA,yes,Backward,13to9,"13, 12, 11, 12, 13",NA,0
BABSYN407,1,NA,yes,Backward,18to14,"18, 19, 11, 12",NA,0
BABSYN407,1,NA,yes,Backward,26to22,"26, 25, 24, 26, 23, 22",NA,0
BABSYN407,1,NA,yes,Backward,5to1,"5, 4, 3, 1",NA,0
BABSYN407,1,NA,yes,Backward,7to3,"7, 6, 5, 4, 3",Counted all #'s in correct order,1
BABSYN407,1,NA,yes,Backward,8to4,"8, 7, 9, 10",NA,0
BABSYN407,1,NA,yes,Forward,18to21,"18, 18 and a half, 18 thousand, 18-90",NA,0
BABSYN407,1,NA,yes,Forward,21to24,"21, 22, 23, 24",Counted all #'s in correct order,1
BABSYN407,1,NA,yes,Forward,35to39,"35, 36, 37, 38, 39",Counted all #'s in correct order,1
BABSYN407,1,NA,yes,Forward,4to9,"4, 5, 6, 7, 8, 9",Counted all #'s in correct order,1
BABSYN407,1,NA,yes,Forward,5to7,"5, 6, 7",Counted all #'s in correct order,1
BABSYN407,1,NA,yes,Forward,6to12,"6, 7, 8, 9, 10, 11, 12",Counted all #'s in correct order,1
BABSYN407,1,NA,yes,next,target23,24,NA,1
BABSYN407,1,NA,yes,next,target29,20-30,NA,0
BABSYN407,1,NA,yes,next,target37,38,NA,1
BABSYN407,1,NA,yes,next,target40,46,NA,0
BABSYN407,1,NA,yes,next,target59,50-11,NA,0
BABSYN407,1,NA,yes,next,target62,53,NA,0
BABSYN407,1,NA,yes,next,target70,70-80,NA,0
BABSYN407,1,NA,yes,next,target86,87,NA,1
BABSYN407,1,NA,yes,skip,by10s,"5, 20, 21, 22, 23",Started counting from # other than beginning of sequence,0
BABSYN407,1,NA,yes,skip,by2s,"2, 4, 3, 4",NA,0
BABSYN407,1,NA,yes,skip,by5s,"5, 10, 11, 12, 13",NA,0
BABSYN408,1,NA,yes,Backward,13to9,"13, 12, 2",NA,0
BABSYN408,1,NA,yes,Backward,18to14,"18, 17, 16, 18,",NA,0
BABSYN408,1,NA,yes,Backward,26to22,"26, 25, 24, 23, 22",Counted all #'s in correct order,1
BABSYN408,1,NA,yes,Backward,5to1,"5, 4, 3, 2, 1",Counted all #'s in correct order,1
BABSYN408,1,NA,yes,Backward,7to3,"7, 6, 5, 4, 3",Counted all #'s in correct order,1
